OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,AGENCY NAME,ESTIMATED FUNDING,EXPECTED NUMBER OF AWARDS,GRANTOR CONTACT,AGENCY CONTACT PHONE,AGENCY CONTACT EMAIL,ESTIMATED POST DATE,ESTIMATED APPLICATION DUE DATE,POSTED DATE,CLOSE DATE,LAST UPDATED DATE/TIME,VERSION
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=321482"",""PAR-20-029"")",Sustained Release of Antivirals for Treatment or Prevention of HIV (SRATP) (R01 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,10/10/2019,01/07/2022,10/10/2019 13:53:10,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=321454"",""F20AS00018"")",2020 National Fish Habitat Action Plan,DOI-FWS,Fish and Wildlife Service,4000000,80,"Adminstrative Officer Stephanie Long 703-358-1749
Stephanie_A_Long@fws.gov",,Stephanie_A_Long@fws.gov,,,10/10/2019,,10/11/2019 07:39:11,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=321379"",""PAS-19-391"")",Small Research Grant Program for the Next Generation of Researchers in AD/ADRD Research: Area of Focus Archiving and Leveraging Existing Data Sets for Analyses (R03 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,1800000,12,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,10/07/2019,11/16/2022,10/18/2019 11:56:18,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=321380"",""PAS-19-392"")",Small Research Grant Program for the Next Generation of Researchers in AD/ADRD Research: Area of Focus Basic Science (R03 Clinical Trials Not Allowed),HHS-NIH11,National Institutes of Health,1800000,12,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,10/07/2019,11/16/2022,10/18/2019 11:57:18,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=321397"",""PAS-19-393"")",Small Research Grant Program for the Next Generation of Researchers in AD/ADRD Research: Area of Focus Systems Biology (R03 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,1800000,12,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,10/07/2019,11/16/2022,10/18/2019 11:57:18,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=321354"",""20-502"")",Division of Environmental Biology,NSF,National Science Foundation,100000000,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,10/05/2019,,10/05/2019 01:00:05,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=321296"",""RFA-NS-20-010"")",HEAL INITIATIVE: Development of Therapies and Technologies Directed at Enhanced Pain Management (R43/R44 - Clinical Trial Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,10/04/2019,09/08/2022,10/04/2019 10:36:04,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=321295"",""RFA-NS-20-008"")",HEAL Initiative: Development of Therapies and Technologies Directed at Enhanced Pain Management (R41/R42 Clinical Trial Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,10/04/2019,09/08/2022,10/04/2019 10:25:04,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=321313"",""RFA-NS-20-011"")",HEAL INITIATIVE: Development of Therapies and Technologies Directed at Enhanced Pain Management (R43/R44 - Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,10/04/2019,09/08/2022,10/04/2019 10:42:04,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=321294"",""RFA-NS-20-009"")",HEAL Initiative: Development of Therapies and Technologies Directed at Enhanced Pain Management (R41/R42 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,10/04/2019,09/08/2022,10/04/2019 10:19:04,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=321199"",""PAR-19-389"")",Perception and Cognition Research to Inform Cancer Image Interpretation (R21 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,10/02/2019,01/07/2023,10/02/2019 09:27:02,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=321198"",""HKG-NOFO-FY20-01"")","U.S. Consulate General HK, PAS Annual Program Statement",DOS-CHN,U.S. Mission to China,400000,50,"Tom Hwei
Cultural Affairs Officer",,HweiTB@state.gov,,,10/02/2019,09/15/2020,10/02/2019 03:59:02,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=321213"",""PAR-19-387"")",Perception and Cognition Research to Inform Cancer Image Interpretation (R01 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,10/02/2019,01/07/2023,10/02/2019 09:25:02,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=321114"",""PAR-19-385"")",Environmental Risks for Psychiatric Disorders: Biological Basis of Pathophysiology (R21 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,09/30/2019,11/16/2021,09/30/2019 08:37:30,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=321094"",""PAR-19-386"")",Environmental Risks for Psychiatric Disorders: Biological Basis of Pathophysiology (R01 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,09/30/2019,11/16/2021,09/30/2019 08:38:30,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=321054"",""RFA-OD-19-029"")",The Intersection of Sex and Gender Influences on Health and Disease (R01 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,09/27/2019,11/26/2021,09/27/2019 10:07:27,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320950"",""PAS-OSAKA-FY2020-0001"")",U.S. Consulate General Osaka-Kobe PAS Annual Program Statement,DOS-JPN,U.S. Mission to Japan,30000,3,"Osaka-Kobe PAS
Grants Management
Phone 81-6-6315-5900",,KACprogram@state.gov,,,09/26/2019,07/31/2020,09/25/2019 21:04:25,Synopsis 8,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=321039"",""N00014-20-S-B001"")",Long Range Broad Agency Announcement (BAA) for Navy and Marine Corps Science & Technology,DOD-ONR,Office of Naval Research,,,"Lynn Christian
Branch Head, Code 02",,lynn.christian@navy.mil,,,09/26/2019,09/30/2020,04/22/2020 10:22:22,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320940"",""RFA-OD-19-028"")",Tobacco Regulatory Science (R01  Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,09/24/2019,02/13/2021,09/25/2019 09:14:25,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320898"",""MP-CPI-20-002"")",Demonstration to Increase Hydroxyurea Prescribing for Children with Sickle Cell Disease Through Provider Incentives,HHS-OPHS,Office of the Assistant Secretary for Health,2500000,2,David Wong,240-453-6165,david.wong@hhs.gov,07/20/2020,08/20/2020,09/23/2019,,07/15/2020 14:34:15,Forecast 6,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320854"",""19-606"")",NSF Dynamic Language Infrastructure - NEH Documenting Endangered Languages,NSF,National Science Foundation,4800000,30,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,09/22/2019,09/15/2020,09/22/2019 01:00:22,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320855"",""19-607"")",Linguistics: Dynamic Language Infrastructure-Doctoral Dissertation Research Improvement Grants,NSF,National Science Foundation,250000,15,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,09/22/2019,,10/01/2019 01:00:01,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320839"",""19-612"")",Law & Science,NSF,National Science Foundation,5500000,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,09/22/2019,08/03/2020,01/31/2020 01:00:31,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320857"",""19-610"")",Science and Technology Studies,NSF,National Science Foundation,6200000,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,09/22/2019,08/03/2020,02/11/2020 01:00:11,Synopsis 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320836"",""PD-19-125Y"")","Science of Science: Discovery, Communication, and Impact",NSF,National Science Foundation,,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,09/22/2019,09/09/2020,02/26/2020 01:00:26,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320858"",""19-611"")",Science of Science - Doctoral Dissertation Research Improvement Grants,NSF,National Science Foundation,100000,5,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,09/22/2019,09/09/2020,02/26/2020 01:00:26,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320838"",""19-609"")",Ethical and Responsible Research,NSF,National Science Foundation,3550000,8,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,09/22/2019,02/22/2021,03/03/2020 01:00:03,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320797"",""PD-20-1417"")",Interfacial Engineering,NSF,National Science Foundation,3200000,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,09/20/2019,,09/20/2019 01:00:20,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320799"",""PD-20-1179"")",Nanoscale Interactions,NSF,National Science Foundation,,100,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,09/20/2019,,05/30/2020 01:00:30,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320715"",""PAR-19-384"")","Research on biopsychosocial factors of social connectedness and isolation on health, wellbeing, illness, and recovery (R01 Basic Experimental Studies with Humans Required)",HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,09/18/2019,03/17/2021,09/18/2019 13:23:18,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320713"",""PAR-19-373"")","Research on biopsychosocial factors of social connectedness and isolation on health, wellbeing, illness, and recovery (R01 Clinical Trials Not Allowed)",HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,09/18/2019,03/17/2021,09/18/2019 12:22:18,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320695"",""PAR-19-381"")",Patient Activation for Self-Management of Chronic Conditions (R01 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,09/17/2019,05/07/2023,09/17/2019 10:02:17,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320697"",""PAR-19-380"")",Initiative to Maximize Research Education in Genomics:  Diversity Action Plan (R25),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,09/17/2019,09/25/2022,09/17/2019 10:36:17,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320696"",""PAR-19-382"")",Patient Activation for Self-Management of Chronic Conditions (R21 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,09/17/2019,05/07/2023,09/17/2019 10:18:17,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320679"",""PAR-19-383"")",Innovative Programs to Enhance Research Training (IPERT) (R25 - Independent Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,09/17/2019,10/15/2021,09/17/2019 13:59:17,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320656"",""PAR-19-379"")","Bioinformatics Interdisciplinary Postdoctoral Fellowship in Diabetes, Endocrinology and Metabolic Diseases (F32)",HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,09/16/2019,09/07/2022,09/16/2019 12:21:16,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320655"",""PAR-19-378"")","Bioinformatics Interdisciplinary Predoctoral Fellowship in Diabetes, Endocrinology and Metabolic Diseases (F31)",HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,09/16/2019,09/07/2022,09/16/2019 12:19:16,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320574"",""PAR-19-376"")",Mobile Health: Technology and Outcomes in Low and Middle Income Countries (R21/R33 - Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,09/13/2019,12/03/2020,09/13/2019 12:15:13,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320575"",""PAR-19-377"")",Omics-guided Biobehavioral Interventions for Improved Health Outcomes: A Step Forward in Translation (R01 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,09/13/2019,01/07/2023,09/13/2019 12:29:13,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320556"",""PAR-19-375"")",Small Research Grants for Analyses of Gabriella Miller Kids First Pediatric Research Data (R03 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,09/12/2019,01/07/2023,09/12/2019 13:45:12,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320536"",""PD-20-7909"")",Biosensing,NSF,National Science Foundation,7600000,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,09/12/2019,,05/30/2020 01:00:30,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320490"",""PD-20-1440"")",Environmental Engineering,NSF,National Science Foundation,10000000,103,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,09/11/2019,,09/11/2019 01:00:11,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320505"",""RFA-OD-19-027"")",Resource-Related Research Projects for Development of Animal Models and Related Materials (R24 Clinical Trials Not-Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,09/11/2019,09/08/2022,09/11/2019 12:42:11,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320484"",""PD-20-1415"")",Particulate and Multiphase Processes,NSF,National Science Foundation,8285000,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,09/11/2019,,09/11/2019 01:00:11,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320485"",""PD-20-1407"")",Combustion and Fire Systems,NSF,National Science Foundation,4654000,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,09/11/2019,,09/11/2019 01:00:11,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320486"",""PD-20-1401"")",Catalysis,NSF,National Science Foundation,4800000,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,09/11/2019,,09/11/2019 01:00:11,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320493"",""PD-20-1403"")","Process Systems, Reaction Engineering, and Molecular Thermodynamics",NSF,National Science Foundation,4900000,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,09/11/2019,,09/11/2019 01:00:11,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320487"",""PD-20-7644"")",Electrochemical Systems,NSF,National Science Foundation,13093000,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,09/11/2019,,09/11/2019 01:00:11,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320488"",""PD-20-7236"")",Biophotonics,NSF,National Science Foundation,6600000,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,09/11/2019,,09/11/2019 01:00:11,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320489"",""PD-20-1491"")",Cellular and Biochemical Engineering,NSF,National Science Foundation,8200000,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,09/11/2019,,09/11/2019 01:00:11,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320524"",""PD-20-5345"")",Engineering of Biomedical Systems,NSF,National Science Foundation,10400000,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,09/11/2019,,05/30/2020 01:00:30,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320494"",""PD-20-7643"")",Environmental Sustainability,NSF,National Science Foundation,7066000,103,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,09/11/2019,,05/30/2020 01:00:30,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320471"",""PD-20-1406"")",Thermal Transport Processes,NSF,National Science Foundation,7047000,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,09/11/2019,,06/03/2020 15:06:03,Synopsis 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320491"",""PD-20-1443"")",Fluid Dynamics,NSF,National Science Foundation,9175000,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,09/11/2019,,06/03/2020 10:34:03,Synopsis 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320472"",""PD-20-5342"")",Disability and Rehabilitation Engineering,NSF,National Science Foundation,4600000,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,09/11/2019,,07/08/2020 01:00:08,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320432"",""19-603"")",Secure and Trustworthy Cyberspace,NSF,National Science Foundation,53000000,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,09/10/2019,,09/10/2019 01:00:10,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320455"",""PAR-19-372"")",Social Epigenomics Research Focused on Minority Health and Health Disparities (R01-Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,09/10/2019,11/08/2022,09/10/2019 09:31:10,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320422"",""PAR-19-365"")",Limited Competition: Small Grant Program for NIDDK K01/K08/K23/K25 Recipients (R03 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,09/09/2019,09/07/2022,09/09/2019 12:49:09,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320399"",""RFA-HL-20-024"")","Catalyze: Product Definition  Device Prototype Design and Testing, Diagnostic Disease Target Identification and Assay Development, and Research Tool Development (R61/R33 - Clinical Trial Not Allowed)",HHS-NIH11,National Institutes of Health,3800000,13,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,09/09/2019,08/11/2021,09/09/2019 12:10:09,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320420"",""RFA-HL-20-023"")","Catalyze: Product Definition for Small Molecules and Biologics - Target Identification and Validation, and Preliminary Product/Lead Series Identification (R61/R33  Clinical Trials Not Allowed)",HHS-NIH11,National Institutes of Health,3800000,13,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,09/09/2019,08/11/2021,09/09/2019 12:11:09,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320401"",""RFA-HL-20-006"")",Stimulating Access to Research in Residency Transition Scholar (StARRTS) (K38) (Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,09/09/2019,01/14/2022,09/09/2019 12:39:09,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320421"",""RFA-HL-20-022"")",Enabling Technologies and Transformative Platforms for HLBS Research (R33 - Clinical Trials Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,09/09/2019,08/11/2021,09/09/2019 12:13:09,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320419"",""RFA-HL-20-028"")","Catalyze: Product Definition  Device Prototype Testing and Design Modification, Diagnostic Disease Target Assay Development and Design Characterization, and Research Tool Testing and Validation  (R33 - Clinical Trials Not Allowed)",HHS-NIH11,National Institutes of Health,3800000,13,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,09/09/2019,08/11/2021,09/09/2019 12:06:09,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320398"",""RFA-HL-20-027"")",Catalyze: Product Definition for Small Molecules and Biologics - Preliminary Product/Lead Series Identification (R33 - Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,3800000,13,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,09/09/2019,08/11/2021,09/09/2019 12:08:09,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320397"",""PAR-19-370"")",NIDCR Small Grant Program for New Investigators (R03 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,09/09/2019,09/07/2022,09/09/2019 10:36:09,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320393"",""PAR-19-366"")",Institutional Research and Academic Career Development Awards (IRACDA) (K12 - Independent Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,09/09/2019,10/01/2021,09/09/2019 08:50:09,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320424"",""PAR-19-369"")",Development of Animal Models and Related Biological Materials for Research (R21 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,09/09/2019,05/07/2021,09/09/2019 12:57:09,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320425"",""PAR-19-371"")",NIAID Career Transition Award (K22 Independent Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,09/09/2019,01/07/2022,09/09/2019 13:07:09,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320400"",""PAR-19-368"")",Accelerating the Pace of Drug Abuse Research Using Existing Data (R01 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,09/09/2019,09/07/2021,09/09/2019 12:19:09,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320413"",""PAR-19-367"")",Maximizing Investigators' Research Award (R35 - Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,09/09/2019,05/17/2022,09/09/2019 09:15:09,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320373"",""19-602"")",Oceanographic Facilities and Equipment Support,NSF,National Science Foundation,8500000,75,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,09/07/2019,12/15/2020,01/01/2020 01:00:01,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320374"",""19-601"")",Improving Undergraduate STEM Education: Education and Human Resources,NSF,National Science Foundation,63000000,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,09/07/2019,08/04/2020,02/12/2020 01:00:12,Synopsis 3,
